Id,SalePrice
1461,119838.83966642531
1462,163099.9132547296
1463,191652.22829073356
1464,190623.74754515974
1465,180470.03639601325
1466,176247.36365469376
1467,182121.78620560453
1468,169739.8996411273
1469,179925.1888184311
1470,129434.564700871
1471,193165.89226390424
1472,93897.53271189904
1473,99871.55835720984
1474,149791.4026556081
1475,115091.3314661717
1476,377101.0869904847
1477,252371.1480860529
1478,290297.7962142026
1479,286942.7538601437
1480,479153.0112213891
1481,325191.0475148203
1482,202484.35290817663
1483,190846.31587823408
1484,165799.90949567786
1485,186317.75114889082
1486,197093.60360235366
1487,344569.5089118301
1488,216806.75322847138
1489,204246.5564016056
1490,237723.08872917932
1491,192032.38895801603
1492,90430.19158607026
1493,186783.09728905722
1494,295039.7197099394
1495,276572.6472971783
1496,248164.33894691704
1497,183428.7238513986
1498,162933.25608809758
1499,163514.45226745817
1500,163337.7944153982
1501,178583.221829106
1502,147190.63278411984
1503,279128.1157790379
1504,237083.4885312197
1505,220632.79798422655
1506,186831.06756972283
1507,251513.1424444522
1508,202428.75800122388
1509,160596.15895511396
1510,152675.53544639828
1511,145594.90389060322
1512,170771.26888150722
1513,147860.4676415016
1514,169584.3948168125
1515,186915.08763364243
1516,140671.942392853
1517,155957.95911135137
1518,129054.45535672012
1519,229825.53523207697
1520,140768.9512473331
1521,142651.83483832155
1522,161892.9444619157
1523,113276.91629133202
1524,122021.14600538815
1525,123736.1667542262
1526,117218.29955375308
1527,107453.01961003081
1528,130849.4481270707
1529,155410.43042340231
1530,169452.04899924705
1531,100789.77765408179
1532,92364.37281924182
1533,146697.9255446974
1534,115543.08207835832
1535,150652.87252243762
1536,107540.8743713546
1537,64701.308775298334
1538,147637.0177479004
1539,200772.01952020577
1540,91467.81400762775
1541,139829.1442297591
1542,139465.58260358867
1543,213273.15977974047
1544,78709.58359250608
1545,112169.16467631883
1546,136630.05626361872
1547,139432.67983125133
1548,142323.5637031221
1549,116311.15357446161
1550,140750.3490523772
1551,103415.07995964345
1552,141279.70812098694
1553,148121.16767708914
1554,109988.67032882523
1555,172716.00246129197
1556,80835.64895159082
1557,103962.00582135179
1558,96724.73704616874
1559,87237.62198658963
1560,123061.11202524515
1561,143660.05076412385
1562,127772.88291221511
1563,125517.80604778013
1564,153896.2222164776
1565,155081.51581968315
1566,226761.67412193533
1567,72986.28714225425
1568,228519.1912294715
1569,134720.71493785045
1570,139998.87467446923
1571,118046.49946605013
1572,146004.106924727
1573,239561.88446970223
1574,113417.30378062859
1575,216439.2821624626
1576,251209.3718837603
1577,199167.38963641034
1578,138940.25669917781
1579,144899.0956959408
1580,191458.0614293675
1581,149856.57480091852
1582,130801.33844500576
1583,317370.5749359656
1584,240430.93971305608
1585,141151.54684616078
1586,68573.39003914861
1587,101319.88262493514
1588,146188.47183550365
1589,94464.65238818614
1590,132290.87837008166
1591,95268.21128698727
1592,116745.31732257867
1593,122166.67874764519
1594,126873.7861937705
1595,102293.99561880091
1596,234947.83961551296
1597,193646.14540077242
1598,203439.8897620608
1599,165424.55305501434
1600,171448.79498364576
1601,64733.923744462256
1602,101298.43488989942
1603,92113.95673755978
1604,261761.62525434163
1605,241746.66486653997
1606,173178.6522369965
1607,158699.47339462346
1608,215942.17256915197
1609,192444.46424650852
1610,161258.88672044023
1611,139349.17651299157
1612,178362.57184844697
1613,175297.870740802
1614,123249.46944427806
1615,84836.13490397799
1616,70003.60746001556
1617,87405.9876201205
1618,124542.64087943004
1619,146391.7934426733
1620,175123.7078467355
1621,141543.96733606287
1622,142231.14106234536
1623,278269.51555239875
1624,221145.7355224381
1625,115847.39689299502
1626,163781.81717712627
1627,192934.86959380054
1628,276345.4313553793
1629,179207.54523696963
1630,360341.13558210415
1631,211357.671005734
1632,232221.12099507006
1633,176258.4053817709
1634,193340.4419440144
1635,171613.80339874054
1636,162849.35938452746
1637,190892.98168217755
1638,188578.01348362706
1639,182473.92585824706
1640,258160.0205072187
